Aircraft,Traveller_type,Seat_type,Date_flown,Recommended
,Solo Leisure,Economy Class,January 2024,no
A380,Solo Leisure,Business Class,August 2024,no
A350-1000,,Economy Class,August 2024,no
,Family Leisure,Economy Class,July 2024,no
,Solo Leisure,Economy Class,June 2024,no
A350,Solo Leisure,Business Class,July 2024,yes
A320,Solo Leisure,Economy Class,August 2024,yes
A380,Family Leisure,Economy Class,August 2024,no
,Family Leisure,Economy Class,August 2024,no
,Couple Leisure,Economy Class,May 2024,no
,Family Leisure,Economy Class,August 2024,no
,Couple Leisure,Economy Class,July 2024,yes
A320,Solo Leisure,Business Class,August 2024,yes
,Solo Leisure,Economy Class,August 2024,no
,,Economy Class,August 2024,no
A380,,Business Class,August 2024,no
A320,Solo Leisure,Business Class,August 2024,yes
,Couple Leisure,Economy Class,July 2024,no
,,Business Class,July 2024,no
,Family Leisure,Economy Class,July 2024,no
,Couple Leisure,Economy Class,July 2024,no
A380-800,Family Leisure,Business Class,July 2024,yes
,Solo Leisure,Economy Class,June 2024,no
,,Economy Class,March 2024,no
,Couple Leisure,Economy Class,September 2023,no
,Solo Leisure,Economy Class,July 2024,no
,Couple Leisure,Economy Class,June 2024,no
A320,,Business Class,June 2024,yes
A350-1000,Solo Leisure,Economy Class,June 2024,no
A350-1000,Solo Leisure,Business Class,June 2024,no
A320/A380,Couple Leisure,Business Class,April 2024,yes
,Couple Leisure,Economy Class,June 2024,no
,Solo Leisure,Business Class,June 2024,yes
,Solo Leisure,,June 2024,yes
,Couple Leisure,Economy Class,June 2024,no
A320,Couple Leisure,Business Class,June 2024,no
A320,Solo Leisure,Business Class,May 2024,yes
,Couple Leisure,,May 2024,no
,,Business Class,June 2024,no
,Couple Leisure,Business Class,May 2024,no
,Family Leisure,,January 2024,no
A320,Solo Leisure,Economy Class,May 2024,yes
,Family Leisure,Economy Class,May 2024,no
,,Business Class,October 2023,no
A380,Couple Leisure,Economy Class,May 2024,no
,Solo Leisure,Economy Class,May 2024,no
,Couple Leisure,Business Class,May 2024,no
,Solo Leisure,Economy Class,May 2024,no
,Couple Leisure,Economy Class,May 2024,yes
A380 / Boeing 777-200ER,Family Leisure,Business Class,August 2023,no
,Couple Leisure,Economy Class,May 2024,no
A380,Couple Leisure,Business Class,April 2024,no
A320,Couple Leisure,Economy Class,May 2024,no
,Solo Leisure,Economy Class,April 2024,no
A319 / A320,Solo Leisure,Economy Class,April 2024,yes
,Solo Leisure,Economy Class,April 2024,no
A380,,Economy Class,April 2024,no
A320,,Economy Class,April 2024,no
A350,Solo Leisure,Economy Class,April 2024,no
,Couple Leisure,,February 2024,no
A319 / E190,Couple Leisure,Economy Class,March 2024,no
,Solo Leisure,,April 2024,no
,Family Leisure,Economy Class,January 2024,no
A340,,Business Class,March 2024,yes
,,Business Class,March 2024,yes
,Couple Leisure,Business Class,March 2024,no
,Couple Leisure,Business Class,March 2024,no
A350,Solo Leisure,Business Class,March 2024,yes
,Couple Leisure,Economy Class,March 2024,no
,,Business Class,March 2024,yes
A320,,Economy Class,March 2024,yes
