num_passengers,sales_channel,trip_type,purchase_lead,length_of_stay,flight_hour,flight_day,route,booking_origin,wants_extra_baggage,wants_preferred_seat,wants_in_flight_meals,flight_duration,booking_complete
2,0,0,262,19,7,0,AKLDEL,New Zealand,1,0,0,5.52,0
1,0,0,112,20,3,0,AKLDEL,New Zealand,0,0,0,5.52,0
2,0,0,243,22,17,4,AKLDEL,India,1,1,0,5.52,0
1,0,0,96,31,4,0,AKLDEL,New Zealand,0,0,1,5.52,0
2,0,0,68,22,15,4,AKLDEL,India,1,0,1,5.52,0
1,0,0,3,48,20,5,AKLDEL,New Zealand,1,0,1,5.52,0
3,0,0,201,33,6,5,AKLDEL,New Zealand,1,0,1,5.52,0
2,0,0,238,19,14,2,AKLDEL,India,1,0,1,5.52,0
1,0,0,80,22,4,2,AKLDEL,New Zealand,0,0,1,5.52,0
1,1,0,378,30,12,1,AKLDEL,India,0,0,0,5.52,0
2,0,0,185,25,14,3,AKLDEL,United Kingdom,1,1,1,5.52,0
1,0,0,8,43,2,0,AKLDEL,New Zealand,1,1,1,5.52,0
4,0,0,265,24,19,2,AKLDEL,New Zealand,1,0,1,5.52,0
1,0,0,185,17,14,6,AKLDEL,India,0,0,0,5.52,0
1,0,0,245,34,4,3,AKLDEL,New Zealand,1,1,1,5.52,0
1,0,0,192,18,14,5,AKLDEL,India,1,0,0,5.52,0
1,0,0,259,37,6,1,AKLDEL,India,0,0,0,5.52,0
1,0,0,19,29,10,0,AKLDEL,New Zealand,0,0,1,5.52,0
1,0,0,67,155,8,1,AKLDEL,New Zealand,1,0,0,5.52,0
1,0,0,351,17,3,1,AKLHGH,China,0,0,0,5.07,0
2,0,1,228,29,23,4,AKLHND,New Zealand,1,0,0,7.57,0
1,0,0,21,88,9,4,AKLICN,South Korea,1,0,1,6.62,0
2,0,0,23,19,8,2,AKLICN,New Zealand,1,0,1,6.62,0
2,0,0,25,27,13,6,AKLICN,South Korea,1,0,1,6.62,0
1,0,0,16,21,6,5,AKLICN,New Zealand,1,0,1,6.62,0
1,0,0,66,20,7,5,AKLICN,South Korea,1,0,0,6.62,0
1,0,0,51,28,6,6,AKLICN,South Korea,0,0,0,6.62,0
2,0,0,37,24,7,2,AKLICN,New Zealand,1,0,0,6.62,0
1,0,0,101,19,11,3,AKLICN,South Korea,1,0,1,6.62,0
1,0,0,19,47,2,3,AKLICN,New Zealand,1,0,1,6.62,0
1,0,0,16,35,23,4,AKLICN,New Zealand,1,1,0,6.62,0
2,0,0,7,82,4,5,AKLICN,South Korea,1,0,1,6.62,0
1,0,0,5,27,0,6,AKLICN,New Zealand,0,0,1,6.62,0
1,0,0,185,34,4,2,AKLICN,New Zealand,1,0,1,6.62,0
1,0,0,21,22,7,6,AKLICN,New Zealand,1,1,0,6.62,0
1,0,0,7,27,4,4,AKLICN,New Zealand,0,0,1,6.62,0
1,0,0,33,22,14,0,AKLICN,South Korea,1,0,0,6.62,0
6,0,0,20,22,3,6,AKLICN,South Korea,1,1,1,6.62,0
2,0,0,56,21,7,5,AKLICN,New Zealand,1,0,0,6.62,0
1,0,0,3,33,1,2,AKLICN,South Korea,1,0,1,6.62,0
1,0,0,13,26,7,2,AKLICN,South Korea,1,0,0,6.62,0
1,0,0,71,90,7,5,AKLICN,South Korea,1,1,1,6.62,0
2,0,0,346,23,8,2,AKLICN,South Korea,1,0,1,6.62,0
1,0,0,9,84,7,4,AKLICN,New Zealand,1,0,0,6.62,0
1,0,0,65,22,14,5,AKLICN,South Korea,1,0,0,6.62,0
1,1,0,221,61,2,1,AKLICN,New Zealand,0,0,0,6.62,0
1,0,0,65,18,14,4,AKLICN,South Korea,0,0,1,6.62,0
2,0,0,7,40,7,4,AKLICN,South Korea,1,0,1,6.62,0
1,0,0,107,24,14,6,AKLICN,South Korea,0,1,0,6.62,0
1,0,0,14,27,10,4,AKLICN,New Zealand,0,0,0,6.62,0
1,0,0,77,96,9,3,AKLICN,New Zealand,1,0,1,6.62,0
1,0,0,65,17,9,4,AKLICN,New Zealand,1,0,0,6.62,0
1,0,0,24,25,8,5,AKLICN,South Korea,1,0,1,6.62,0
1,0,0,47,69,2,4,AKLICN,South Korea,1,1,1,6.62,0
1,0,0,22,89,14,3,AKLICN,South Korea,1,0,1,6.62,0
2,0,0,11,25,4,5,AKLICN,South Korea,1,0,1,6.62,0
1,0,0,35,25,6,3,AKLICN,South Korea,0,0,1,6.62,0
1,0,0,272,21,14,3,AKLICN,New Zealand,1,0,0,6.62,0
1,0,0,20,18,10,2,AKLICN,New Zealand,0,0,0,6.62,0
1,0,0,250,23,9,1,AKLICN,South Korea,1,0,1,6.62,0
1,0,0,161,58,2,0,AKLICN,South Korea,1,0,1,6.62,0
4,0,0,128,21,9,2,AKLICN,New Zealand,1,1,0,6.62,0
1,0,0,190,27,14,1,AKLICN,South Korea,1,0,1,6.62,0
4,0,0,311,27,6,0,AKLICN,New Zealand,0,1,0,6.62,0
1,0,0,27,56,7,6,AKLICN,South Korea,1,0,1,6.62,0
2,0,0,314,43,10,1,AKLICN,New Zealand,0,0,0,6.62,0
1,0,0,25,29,11,4,AKLICN,South Korea,1,0,1,6.62,0
1,0,0,102,110,6,3,AKLICN,South Korea,1,0,0,6.62,0
1,0,0,24,19,8,2,AKLICN,South Korea,1,0,1,6.62,0
1,0,0,2,165,3,2,AKLKIX,Japan,1,0,0,7,0
1,0,0,26,111,13,2,AKLKIX,Japan,1,0,1,7,0
1,0,0,32,34,23,1,AKLKIX,New Zealand,0,0,0,7,0
2,0,0,57,38,5,1,AKLKIX,New Zealand,1,0,0,7,0
1,0,0,198,207,10,1,AKLKIX,Japan,1,0,1,7,0
1,0,0,23,27,11,0,AKLKIX,Japan,0,0,0,7,0
1,0,0,33,20,6,6,AKLKTM,New Zealand,1,0,0,4.75,0
2,0,0,120,91,3,2,AKLKTM,New Zealand,1,0,1,4.75,0
2,0,0,69,34,4,5,AKLKTM,New Zealand,1,0,0,4.75,0
1,1,1,281,18,3,4,AKLKTM,New Zealand,1,0,0,4.75,0
1,0,1,282,18,19,3,AKLKTM,New Zealand,1,0,0,4.75,0
1,0,0,69,21,3,4,AKLKTM,New Zealand,1,0,0,4.75,0
1,0,2,67,1,10,3,AKLKTM,New Zealand,1,0,0,4.75,0
1,0,0,15,31,17,2,AKLKUL,Malaysia,0,0,0,8.83,1
1,0,0,31,274,10,3,AKLKUL,Malaysia,1,0,0,8.83,0
1,0,0,316,35,16,3,AKLKUL,Malaysia,1,0,0,8.83,0
2,0,0,232,17,3,3,AKLKUL,Malaysia,1,1,1,8.83,0
1,0,0,156,19,14,2,AKLKUL,Malaysia,1,0,0,8.83,1
1,0,0,196,44,23,3,AKLKUL,New Zealand,1,0,0,8.83,0
1,0,0,283,38,9,2,AKLKUL,New Zealand,1,0,0,8.83,0
1,0,0,34,24,5,6,AKLKUL,New Zealand,1,0,0,8.83,0
1,1,0,63,57,8,2,AKLKUL,New Zealand,0,0,0,8.83,0
1,0,0,5,18,4,3,AKLKUL,New Zealand,0,0,0,8.83,0
1,0,0,6,106,19,3,AKLKUL,Malaysia,0,0,0,8.83,0
1,0,0,227,68,2,6,AKLKUL,Malaysia,1,1,0,8.83,0
1,0,0,181,87,2,3,AKLKUL,Singapore,1,0,1,8.83,1
1,0,0,8,33,3,3,AKLKUL,New Zealand,0,0,0,8.83,0
2,0,0,138,35,19,6,AKLKUL,Switzerland,1,0,1,8.83,0
1,0,0,134,37,20,4,AKLKUL,New Zealand,0,1,0,8.83,0
2,0,0,8,29,18,5,AKLKUL,New Zealand,1,0,0,8.83,0
1,0,0,23,51,13,6,AKLKUL,New Zealand,1,0,1,8.83,0
1,1,0,57,21,1,1,AKLKUL,Malaysia,1,1,1,8.83,0
2,0,0,85,19,0,2,AKLKUL,New Zealand,1,1,0,8.83,0
1,0,0,65,31,23,1,AKLKUL,New Zealand,0,0,0,8.83,0
1,0,2,27,1,13,3,AKLKUL,New Zealand,1,1,0,8.83,0
1,0,0,93,196,8,3,AKLKUL,Germany,1,0,0,8.83,0
1,1,0,16,77,8,2,AKLKUL,New Zealand,0,0,1,8.83,0
2,0,0,118,17,8,3,AKLKUL,New Zealand,1,0,1,8.83,0
2,0,0,90,20,7,5,AKLKUL,Malaysia,0,0,1,8.83,0
1,0,0,168,41,23,2,AKLKUL,New Zealand,1,0,1,8.83,0
1,1,0,127,17,16,3,AKLKUL,Malaysia,1,0,1,8.83,1
2,1,0,18,17,6,2,AKLKUL,New Zealand,1,1,1,8.83,0
1,0,0,153,30,10,3,AKLKUL,New Zealand,1,1,0,8.83,0
1,0,0,51,21,9,0,AKLKUL,Malaysia,1,0,1,8.83,0
2,0,0,186,27,2,3,AKLKUL,New Zealand,1,1,1,8.83,0
1,0,0,5,87,5,3,AKLKUL,Malaysia,1,0,0,8.83,0
1,0,0,65,278,2,5,AKLKUL,Malaysia,0,0,0,8.83,0
1,0,0,2,18,6,5,AKLKUL,New Zealand,1,1,0,8.83,0
1,0,0,263,58,4,1,AKLKUL,Malaysia,0,1,0,8.83,0
6,0,0,172,28,0,0,AKLKUL,New Zealand,0,0,1,8.83,0
1,0,0,161,108,2,5,AKLKUL,New Zealand,1,1,0,8.83,0
4,0,0,230,29,17,2,AKLKUL,Malaysia,1,0,1,8.83,0
1,0,0,7,21,0,2,AKLKUL,Indonesia,0,0,0,8.83,0
1,0,0,42,17,14,3,AKLKUL,Malaysia,0,0,0,8.83,1
1,0,0,71,29,10,6,AKLKUL,New Zealand,1,0,0,8.83,0
1,0,0,22,180,13,5,AKLKUL,Malaysia,1,0,0,8.83,1
1,0,0,81,21,4,6,AKLKUL,New Zealand,1,0,0,8.83,0
2,0,0,140,18,7,1,AKLKUL,China,1,0,0,8.83,0
1,1,0,42,72,14,0,AKLKUL,New Zealand,0,0,1,8.83,0
1,0,0,168,32,2,3,AKLKUL,New Zealand,1,1,0,8.83,0
1,0,0,285,30,12,4,AKLKUL,Czech Republic,1,1,1,8.83,0
2,0,0,179,18,11,5,AKLKUL,Malaysia,1,0,1,8.83,0
2,0,0,341,21,10,0,AKLKUL,New Zealand,1,0,0,8.83,0
2,0,0,96,51,3,5,AKLKUL,New Zealand,1,0,1,8.83,0
4,0,0,173,17,1,5,AKLKUL,New Zealand,1,0,1,8.83,0
1,0,0,180,24,9,4,AKLKUL,New Zealand,0,1,1,8.83,0
4,0,0,366,17,16,1,AKLKUL,Malaysia,1,0,1,8.83,0
3,0,0,229,17,13,2,AKLKUL,Malaysia,1,1,1,8.83,1
2,0,0,174,61,11,3,AKLKUL,Malaysia,1,0,1,8.83,0
2,0,0,82,25,18,6,AKLKUL,Czech Republic,1,0,0,8.83,0
1,0,0,75,62,6,2,AKLKUL,Malaysia,0,0,0,8.83,0
2,0,0,163,21,10,2,AKLKUL,New Zealand,1,0,0,8.83,0
